CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_01;Q_OXY;OXY_03;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383793;2;27-jun-13;20:08:28;31.1172;14.065;5.24538;0.354699025210084;1;31.1440944671631;1;NaN;9;6.042;1;0.055;1;0;1;0.2405;1;0.525;1;0;0.00;0.00
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383792;5;27-jun-13;20:08:28;31.1268;13.7176;5.28897;0.332530336134454;1;NaN;9;NaN;9;NaN;9;0.045;1;0;1;0.2355;1;0.825;1;0;0.00;0.00
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383791;6;27-jun-13;20:08:28;31.1266;13.6718;5.2865;0.360241197478992;1;NaN;9;NaN;9;NaN;9;0.305;1;0;1;0.2485;1;0.755;1;0;0.00;0.00
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383790;20;27-jun-13;20:08:28;31.6375;7.9347;6.33372;0.680428399159664;1;NaN;9;NaN;9;NaN;9;0.285;1;0.41;1;0.2645;1;1.09;1;0;1.55;0.38
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383789;30;27-jun-13;20:08:28;31.8228;3.5936;6.68499;1.25342073529412;1;NaN;9;NaN;9;NaN;9;0.055;1;0.18;1;0.38;1;0.615;1;0;0.47;0.29
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383788;40;27-jun-13;20:08:28;32.0222;3.2156;6.28683;0.548675054621849;1;31.9782867431641;1;NaN;9;7.0655;1;0.08;1;1.02;1;0.465;1;1.025;1;0;2.19;1.00
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383787;51;27-jun-13;20:08:28;32.1545;2.8415;6.03887;0.399036403361345;1;NaN;9;NaN;9;NaN;9;0.19;1;4.815;1;0.7665;1;3.55;1;0;6.28;1.36
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383786;75;27-jun-13;20:08:28;32.5143;3.3752;5.49781;0.0425499516806723;1;NaN;9;NaN;9;NaN;9;0.245;1;8.795;1;0.85;1;5.395;1;0;10.35;1.63
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383785;102;27-jun-13;20:08:28;33.277;5.9552;5.02881;0.0702999201680672;1;NaN;9;NaN;9;NaN;9;0.125;1;8.26;1;0.777;1;5.665;1;0;10.63;1.46
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383784;177;27-jun-13;20:08:28;34.63;9.6631;2.91208;0.011099987394958;1;34.6334495544434;1;NaN;9;3.826;1;0.105;1;15.775;1;1.272;1;16.165;1;0;12.40;0.98
NED2013022_2;MFD_SETNO2;44.2428;-63.715;383797;5;02-jul-13;22:39:34;30.5042;12.2276;5.48026;0.590898346638655;1;NaN;9;NaN;9;NaN;9;0.04;1;3.08;1;0.2745;1;0.62;1;0;11.22;4.97
NED2013022_2;MFD_SETNO2;44.2428;-63.715;383796;25;02-jul-13;22:39:34;31.3144;4.3478;6.59009;0.644616378151261;1;NaN;9;NaN;9;NaN;9;0.09;1;4.9;1;0.5075;1;1.515;1;0;9.66;3.23
NED2013022_2;MFD_SETNO2;44.2428;-63.715;383795;51;02-jul-13;22:39:34;31.953;3.1995;6.26694;0.626710367647059;1;NaN;9;NaN;9;NaN;9;0.17;1;7.33;1;0.64;1;2.31;1;0;11.45;3.17
NED2013022_2;MFD_SETNO2;44.2428;-63.715;383794;105;02-jul-13;22:39:34;33.1875;5.477;4.57406;0.0184999789915967;1;33.0160942077637;7;NaN;9;NaN;9;0.28;1;8.53;1;1.055;1;10.79;1;256;8.09;0.79
NED2013022_3;MFD_SETNO3;44.0848;-63.9063;383801;5;03-jul-13;00:57:33;30.527;12.6874;5.4063;0.519274304621849;1;NaN;9;NaN;9;5.8155;1;0.03;1;0;1;0.2645;1;0.445;1;0;0.00;0.00
NED2013022_3;MFD_SETNO3;44.0848;-63.9063;383800;25;03-jul-13;00:57:33;31.7606;5.0127;6.59471;0.787864462184874;1;NaN;9;NaN;9;NaN;9;0.05;1;0.16;1;0.423;1;0.98;1;0;0.38;0.16
NED2013022_3;MFD_SETNO3;44.0848;-63.9063;383799;51;03-jul-13;00:57:33;32.2548;3.5709;5.94428;0.555086325630252;1;NaN;9;NaN;9;NaN;9;0.15;1;4.26;1;0.595;1;1.99;1;0;7.16;2.14
NED2013022_3;MFD_SETNO3;44.0848;-63.9063;383798;149;03-jul-13;00:57:33;34.6439;9.7439;2.95775;0.0184999789915966;1;34.6512260437012;1;NaN;9;3.63;1;0.09;1;17.43;1;1.2555;1;15.225;1;0;13.88;1.14
NED2013022_4;MFD_SETNO4;43.6052;-63.8475;383806;5;03-jul-13;04:37:08;30.6908;13.9839;5.23239;0.326988163865546;1;NaN;9;NaN;9;6.059;1;0.025;1;0;1;0.238;1;0.445;1;0;0.00;0.00
NED2013022_4;MFD_SETNO4;43.6052;-63.8475;383805;24;03-jul-13;04:37:08;31.7351;5.1888;6.54127;0.752052441176471;1;NaN;9;NaN;9;NaN;9;0.045;1;0;1;0.3905;1;0.52;1;0;0.00;0.00
NED2013022_4;MFD_SETNO4;43.6052;-63.8475;383804;50;03-jul-13;04:37:08;32.1661;3.3988;6.17245;0.590898346638655;1;NaN;9;NaN;9;NaN;9;0.195;1;3.405;1;0.6775;1;2.61;1;0;5.03;1.30
NED2013022_4;MFD_SETNO4;43.6052;-63.8475;383803;101;03-jul-13;04:37:08;33.0008;4.9142;4.90955;0.0295999663865546;1;NaN;9;NaN;9;NaN;9;0.045;1;10.17;1;0.9905;1;8.595;1;0;10.27;1.18
NED2013022_4;MFD_SETNO4;43.6052;-63.8475;383802;235;03-jul-13;04:37:08;35.0329;10.3707;2.4663;0.033299962184874;1;35.0445709228516;1;NaN;9;3.2395;1;0.055;1;18.82;1;1.3535;1;17.21;1;0;13.90;1.09
NED2013022_5;MFD_SETNO5;43.4163;-63.7257;383810;9;03-jul-13;07:29:58;30.7354;14.2709;5.20566;0.365783369747899;1;NaN;9;NaN;9;6.0135;1;0.04;1;0.135;1;0.2465;1;0.48;1;0;0.55;0.28
NED2013022_5;MFD_SETNO5;43.4163;-63.7257;383809;23;03-jul-13;07:29:58;31.4308;7.4412;6.43191;0.687229361344538;1;NaN;9;NaN;9;NaN;9;0.04;1;0;1;0.353;1;0.64;1;0;0.00;0.00
NED2013022_5;MFD_SETNO5;43.4163;-63.7257;383808;51;03-jul-13;07:29:58;32.2526;3.2486;5.87829;0.288192957983193;1;NaN;9;NaN;9;NaN;9;0.265;1;4.665;1;0.749;1;3.635;1;0;6.23;1.28
NED2013022_5;MFD_SETNO5;43.4163;-63.7257;383807;216;03-jul-13;07:29:58;35.0314;10.2879;2.40773;0.0147999831932773;1;35.0415916442871;1;NaN;9;3.115;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
NED2013022_6;MFD_SETNO6;43.145;-63.7425;383814;5;03-jul-13;10:08:57;30.865;14.6802;5.15202;0.332530336134454;1;NaN;9;NaN;9;5.967;1;0.03;1;0.105;1;0.2355;1;0.71;1;0;0.45;0.15
NED2013022_6;MFD_SETNO6;43.145;-63.7425;383813;26;03-jul-13;10:08:57;31.5414;10.0751;6.07236;0.787864462184874;1;NaN;9;NaN;9;NaN;9;0.03;1;0.185;1;0.3105;1;1.085;1;0;0.60;0.17
NED2013022_6;MFD_SETNO6;43.145;-63.7425;383812;49;03-jul-13;10:08:57;32.2205;5.776;6.33843;1.21760871428571;1;NaN;9;NaN;9;NaN;9;0.035;1;0.155;1;0.387;1;1.37;1;0;0.40;0.11
NED2013022_6;MFD_SETNO6;43.145;-63.7425;383811;129;03-jul-13;10:08:57;34.7822;9.6003;3.43341;0.0147999831932773;1;34.7573432922363;1;NaN;9;4.1605;1;0.11;1;15.67;1;1.132;1;10.16;1;0;13.84;1.54
NED2013022_7;MFD_SETNO7;43.0673;-64.0893;383818;5;03-jul-13;13:28:59;31.5228;13.7781;5.2953;0.805770472689076;1;NaN;9;NaN;9;6.109;1;0.02;1;0;1;0.2905;1;1.69;1;0;0.00;0.00
NED2013022_7;MFD_SETNO7;43.0673;-64.0893;383817;25;03-jul-13;13:28:59;31.4758;8.6041;6.2097;1.0922666407563;1;NaN;9;NaN;9;NaN;9;0.025;1;0;1;0.3;1;1.4;1;0;0.00;0.00
NED2013022_7;MFD_SETNO7;43.0673;-64.0893;383816;51;03-jul-13;13:28:59;32.132;3.8341;5.80022;5.05967294117647;1;NaN;9;NaN;9;NaN;9;0.105;1;1.105;1;0.64;1;3.295;1;0;1.73;0.34
NED2013022_7;MFD_SETNO7;43.0673;-64.0893;383815;90;03-jul-13;13:28:59;32.3096;3.8233;5.69316;0.0795499096638655;1;32.3296775817871;1;NaN;9;6.3445;1;0.27;1;6.38;1;0.764;1;5.25;1;0;8.35;1.22
NED2013022_8;MFD_SETNO8;43.3348;-64.1327;383822;5;03-jul-13;17:47:06;31.0159;12.8891;5.48006;0.41012074789916;1;NaN;9;NaN;9;6.3445;1;0.025;1;0;1;0.3305;1;1.1;1;0;0.00;0.00
NED2013022_8;MFD_SETNO8;43.3348;-64.1327;383821;25;03-jul-13;17:47:06;31.3855;6.8814;6.35608;0.913206535714286;1;NaN;9;NaN;9;NaN;9;0.03;1;0;1;0.4305;1;0.665;1;0;0.00;0.00
NED2013022_8;MFD_SETNO8;43.3348;-64.1327;383820;50;03-jul-13;17:47:06;32.1538;2.8983;6.06426;0.266180697478992;1;NaN;9;NaN;9;NaN;9;0.22;1;4.155;1;0.7925;1;3.285;1;0;5.24;1.26
NED2013022_8;MFD_SETNO8;43.3348;-64.1327;383819;90;03-jul-13;17:47:06;32.935;5.2937;5.04321;0.016649981092437;1;32.9460182189941;1;NaN;9;5.731;1;0.09;1;8.58;1;0.9135;1;7.69;1;0;9.39;1.12
NED2013022_9;MFD_SETNO9;43.4185;-64.523;383826;5;03-jul-13;20:47:06;31.012;13.0931;5.44928;0.387952058823529;1;NaN;9;NaN;9;6.337;1;0.03;1;0.25;1;0.2495;1;1.105;1;0;1.00;0.23
NED2013022_9;MFD_SETNO9;43.4185;-64.523;383825;25;03-jul-13;20:47:06;31.6985;3.0581;6.46974;0.465556273109244;1;NaN;9;NaN;9;NaN;9;0.18;1;3.495;1;0.7065;1;3.14;1;0;4.95;1.11
NED2013022_9;MFD_SETNO9;43.4185;-64.523;383824;51;03-jul-13;20:47:06;32.2383;2.9293;5.90003;0.0721499180672269;1;NaN;9;NaN;9;NaN;9;0.225;1;6.245;1;0.801;1;5.025;1;0;7.80;1.24
NED2013022_9;MFD_SETNO9;43.4185;-64.523;383823;93;03-jul-13;20:47:06;32.7944;4.5836;5.16282;0.0129499852941177;1;32.8135566711426;1;NaN;9;5.8425;1;0.25;1;8.055;1;0.5;1;7.405;1;0;16.11;1.09
NED2013022_11;MFD_SETNO11;43.4625;-64.9983;383830;6;04-jul-13;00:37:18;31.1898;12.4253;5.65886;1.0385486092437;1;NaN;9;NaN;9;6.499;1;0.05;1;0.245;1;0.266;1;1.595;1;0;0.92;0.15
NED2013022_11;MFD_SETNO11;43.4625;-64.9983;383829;25;04-jul-13;00:37:18;32.0184;8.7828;5.96565;1.44562084033613;1;NaN;9;NaN;9;NaN;9;0.06;1;0.355;1;0.3775;1;2.605;1;0;0.94;0.14
NED2013022_11;MFD_SETNO11;43.4625;-64.9983;383828;50;04-jul-13;00:37:18;32.3014;4.2949;5.68258;0.105449880252101;1;NaN;9;NaN;9;NaN;9;0.29;1;5.64;1;0.7295;1;5.21;1;0;7.73;1.08
NED2013022_11;MFD_SETNO11;43.4625;-64.9983;383827;130;04-jul-13;00:37:18;32.9879;6.0004;5.00004;0.0240499726890756;1;33.002613067627;1;NaN;9;5.687;1;0.085;1;9.06;1;0.8275;1;8.19;1;0;10.95;1.11
NED2013022_12;MFD_SETNO12;43.1948;-65.0107;383835;5;04-jul-13;03:19:17;31.7807;11.4811;5.72001;1.1101726512605;1;NaN;9;NaN;9;6.5265;1;0.05;1;0;1;0.321;1;2.515;1;0;0.00;0.00
NED2013022_12;MFD_SETNO12;43.1948;-65.0107;383834;26;04-jul-13;03:19:17;32.0524;9.3175;5.85331;2.29196934453781;1;NaN;9;NaN;9;NaN;9;0.07;1;0;1;0.39;1;3.18;1;0;0.00;0.00
NED2013022_12;MFD_SETNO12;43.1948;-65.0107;383833;51;04-jul-13;03:19:17;32.2383;4.032;5.76496;0.555086325630252;1;NaN;9;NaN;9;NaN;9;0.29;1;3.765;1;0.6985;1;4.135;1;0;5.39;0.91
NED2013022_12;MFD_SETNO12;43.1948;-65.0107;383832;101;04-jul-13;03:19:17;33.3209;6.5177;4.64819;0.0684499222689075;1;NaN;9;NaN;9;NaN;9;0.05;1;10.125;1;0.939;1;9.9;1;0;10.78;1.02
NED2013022_12;MFD_SETNO12;43.1948;-65.0107;383831;160;04-jul-13;03:19:17;33.397;6.6806;4.53228;0.0258999705882353;1;33.4097671508789;1;NaN;9;5.3345;1;0.07;1;10.605;1;0.9635;1;10.645;1;0;11.01;1.00
NED2013022_13;MFD_SETNO13;43.0387;-65.0882;383839;5;04-jul-13;05:45:21;31.9028;11.7838;5.62766;1.25342073529412;1;NaN;9;NaN;9;6.3395;1;0.03;1;0;1;0.307;1;2.675;1;0;0.00;0.00
NED2013022_13;MFD_SETNO13;43.0387;-65.0882;383838;25;04-jul-13;05:45:21;32.1677;10.4988;5.77644;2.36359338655462;1;NaN;9;NaN;9;NaN;9;0.08;1;0.355;1;0.4095;1;3.475;1;0;0.87;0.10
NED2013022_13;MFD_SETNO13;43.0387;-65.0882;383837;50;04-jul-13;05:45:21;32.4956;7.2298;5.48516;0.680428399159664;1;NaN;9;NaN;9;NaN;9;0.26;1;4.705;1;0.6365;1;5.17;1;0;7.39;0.91
NED2013022_13;MFD_SETNO13;43.0387;-65.0882;383836;163;04-jul-13;05:45:21;33.3567;6.5859;4.57157;0.0184999789915966;1;33.3697776794434;1;NaN;9;5.2655;1;0.07;1;10.34;1;0.9545;1;10.16;1;0;10.83;1.02
NED2013022_14;MFD_SETNO14;42.969;-64.722;383843;5;04-jul-13;08:16:05;31.7421;12.8542;5.44352;0.565301571428571;1;NaN;9;NaN;9;6.2445;1;0.03;1;0;1;0.303;1;2.325;1;0;0.00;0.00
NED2013022_14;MFD_SETNO14;42.969;-64.722;383842;25;04-jul-13;08:16:05;32.0147;9.6564;5.97229;0.160722995798319;1;NaN;9;NaN;9;NaN;9;0.035;1;0;1;0.3475;1;2.275;1;0;0.00;0.00
NED2013022_14;MFD_SETNO14;42.969;-64.722;383841;50;04-jul-13;08:16:05;32.6157;5.8707;5.41124;1.62944695588235;1;NaN;9;NaN;9;NaN;9;0.08;1;6.865;1;0.7685;1;5.94;1;0;8.93;1.16
NED2013022_14;MFD_SETNO14;42.969;-64.722;383840;85;04-jul-13;08:16:05;32.6156;5.8674;5.39651;0.254939924369748;1;32.637767791748;1;NaN;9;6.1065;1;0.07;1;6.95;1;0.76;1;6.025;1;0;9.14;1.15
NED2013022_15;MFD_SETNO15;42.9373;-64.8827;383847;5;04-jul-13;10:29:55;31.6922;13.6408;5.3398;0.570843743697479;1;NaN;9;NaN;9;6.048;1;0.03;1;0;1;0.2885;1;2.385;1;0;0.00;0.00
NED2013022_15;MFD_SETNO15;42.9373;-64.8827;383846;24;04-jul-13;10:29:55;32.2531;7.9187;5.70084;2.12024389915966;1;NaN;9;NaN;9;NaN;9;0.15;1;0.69;1;0.5105;1;3.67;1;0;1.35;0.19
NED2013022_15;MFD_SETNO15;42.9373;-64.8827;383845;50;04-jul-13;10:29:55;32.6638;6.2169;5.36693;0.171807340336135;1;NaN;9;NaN;9;NaN;9;0.08;1;6.61;1;0.745;1;6.06;1;0;8.87;1.09
NED2013022_15;MFD_SETNO15;42.9373;-64.8827;383844;84;04-jul-13;10:29:55;32.6625;6.2276;5.35615;0.188433857142857;1;32.6777458190918;1;NaN;9;6.068;1;0.085;1;6.66;1;0.742;1;6.105;1;0;8.98;1.09
NED2013022_16;MFD_SETNO16;42.7518;-65.3423;383851;5;04-jul-13;13:47:56;32.407;10.0459;6.07766;3.75861418487395;1;NaN;9;NaN;9;6.8555;1;0.04;1;0;1;0.358;1;3.85;1;0;0.00;0.00
NED2013022_16;MFD_SETNO16;42.7518;-65.3423;383850;25;04-jul-13;13:47:56;32.3996;9.2815;5.84828;2.69849223529412;1;NaN;9;NaN;9;NaN;9;0.13;1;1.28;1;0.4425;1;4.17;1;0;2.89;0.31
NED2013022_16;MFD_SETNO16;42.7518;-65.3423;383849;50;04-jul-13;13:47:56;32.7075;7.024;5.29289;0.20506037394958;1;NaN;9;NaN;9;NaN;9;0.18;1;6.345;1;0.701;1;6.095;1;0;9.05;1.04
NED2013022_16;MFD_SETNO16;42.7518;-65.3423;383848;100;04-jul-13;13:47:56;32.7317;7.0118;5.26769;0.177349512605042;1;32.7460441589355;1;NaN;9;5.999;1;0.18;1;6.725;1;0.7145;1;6.24;1;0;9.41;1.08
NED2013022_17;MFD_SETNO17;42.619;-65.3298;383855;5;04-jul-13;15:49:27;32.2901;10.5763;5.93607;2.65030487394958;1;NaN;9;NaN;9;6.7695;1;0.055;1;0;1;0.3445;1;3.51;1;0;0.00;0.00
NED2013022_17;MFD_SETNO17;42.619;-65.3298;383854;25;04-jul-13;15:49:27;32.6097;7.1357;5.41657;0.493253331932773;1;NaN;9;NaN;9;NaN;9;0.21;1;5.295;1;0.6295;1;4.835;1;0;8.41;1.10
NED2013022_17;MFD_SETNO17;42.619;-65.3298;383853;50;04-jul-13;15:49:27;32.7698;6.6751;5.35038;0.171807340336134;1;NaN;9;NaN;9;NaN;9;0.195;1;6.305;1;0.6775;1;5.17;1;0;9.31;1.22
NED2013022_17;MFD_SETNO17;42.619;-65.3298;383852;93;04-jul-13;15:49:27;32.7907;6.7144;5.33349;0.155180823529412;1;32.8052024841309;1;NaN;9;6.0465;1;0.195;1;6.31;1;0.686;1;5.22;1;0;9.20;1.21
NED2013022_18;MFD_SETNO18;42.5082;-65.108;383859;5;04-jul-13;18:13:41;31.8379;11.779;5.69456;0.913206535714286;1;NaN;9;NaN;9;6.472;1;0.035;1;0;1;0.405;1;2.325;1;0;0.00;0.00
NED2013022_18;MFD_SETNO18;42.5082;-65.108;383858;25;04-jul-13;18:13:41;31.7601;5.6909;6.38488;0.823676483193277;1;NaN;9;NaN;9;NaN;9;0.105;1;0.5;1;0.488;1;2.155;1;0;1.02;0.23
NED2013022_18;MFD_SETNO18;42.5082;-65.108;383857;51;04-jul-13;18:13:41;32.6391;5.1531;5.44113;0.0980498886554621;1;NaN;9;NaN;9;NaN;9;0.12;1;7.56;1;0.787;1;5.92;1;0;9.61;1.28
NED2013022_18;MFD_SETNO18;42.5082;-65.108;383856;111;04-jul-13;18:13:41;33.7253;7.5029;4.74794;0.0591999327731092;1;33.7370414733887;1;NaN;9;5.403;1;0.09;1;9.925;1;0.83;1;6.395;1;0;11.96;1.55
NED2013022_19;MFD_SETNO19;42.4303;-65.5287;383863;5;04-jul-13;21:16:12;31.5574;13.1935;5.46551;0.43228943697479;1;NaN;9;NaN;9;6.26;1;0.03;1;0.425;1;0.2775;1;1.56;1;0;1.53;0.27
NED2013022_19;MFD_SETNO19;42.4303;-65.5287;383862;26;04-jul-13;21:16:12;31.8497;10.0395;5.81928;1.34295078781513;1;NaN;9;NaN;9;NaN;9;0.07;1;0.485;1;0.402;1;2.275;1;0;1.21;0.21
NED2013022_19;MFD_SETNO19;42.4303;-65.5287;383861;50;04-jul-13;21:16:12;32.5044;6.0094;5.62494;0.662522388655462;1;NaN;9;NaN;9;NaN;9;0.16;1;5.375;1;0.6745;1;4.55;1;0;7.97;1.18
NED2013022_19;MFD_SETNO19;42.4303;-65.5287;383860;98;04-jul-13;21:16:12;33.9707;8.6144;4.59161;0.10914987605042;1;33.9668006896973;1;NaN;9;5.3025;1;0.1;1;10.41;1;0.827;1;6.505;1;0;12.59;1.60
NED2013022_20;MFD_SETNO20;42.5735;-65.6337;383867;5;04-jul-13;23:43:34;31.5672;12.692;5.5594;0.570843743697478;1;NaN;9;NaN;9;6.319;1;0.03;1;0.205;1;0.283;1;1.67;1;0;0.72;0.12
NED2013022_20;MFD_SETNO20;42.5735;-65.6337;383866;25;04-jul-13;23:43:34;31.8606;7.5464;6.04599;1.14598467226891;1;NaN;9;NaN;9;NaN;9;0.1;1;0.985;1;0.4395;1;2.48;1;0;2.24;0.40
NED2013022_20;MFD_SETNO20;42.5735;-65.6337;383865;51;04-jul-13;23:43:34;32.9725;6.1906;5.30771;0.254939924369748;1;NaN;9;NaN;9;NaN;9;0.125;1;7.5;1;0.748;1;5.395;1;0;10.03;1.39
NED2013022_20;MFD_SETNO20;42.5735;-65.6337;383864;91;04-jul-13;23:43:34;33.0323;6.3555;5.26258;0.260482096638655;1;33.0473022460938;1;NaN;9;5.972;1;0.13;1;7.465;1;0.75;1;5.27;1;0;9.95;1.42
NED2013022_22;MFD_SETNO22;42.4448;-65.702;383871;5;05-jul-13;02:37:39;32.0975;14.0412;5.2943;0.49879550420168;1;NaN;9;NaN;9;6.146;1;0.03;1;0;1;0.266;1;1.84;1;0;0.00;0.00
NED2013022_22;MFD_SETNO22;42.4448;-65.702;383870;25;05-jul-13;02:37:39;32.7514;10.2993;5.44578;0.85948850420168;1;NaN;9;NaN;9;NaN;9;0.085;1;1.985;1;0.407;1;2.95;1;0;4.88;0.67
NED2013022_22;MFD_SETNO22;42.4448;-65.702;383869;51;05-jul-13;02:37:39;32.9153;9.5709;5.32492;0.64461637815126;1;NaN;9;NaN;9;NaN;9;0.1;1;3.72;1;0.495;1;3.535;1;0;7.52;1.05
NED2013022_22;MFD_SETNO22;42.4448;-65.702;383868;92;05-jul-13;02:37:39;34.0578;8.766;4.52697;0.0924998949579831;1;34.0641593933105;1;NaN;9;5.2545;1;0.08;1;10.76;1;0.8505;1;6.555;1;0;12.65;1.64
NED2013022_25;MFD_SETNO25;42.5377;-65.7098;383875;5;05-jul-13;07:11:37;31.7289;12.6993;5.51761;0.680428399159664;1;NaN;9;6.566;7;NaN;9;0.025;1;0.34;1;0.328;1;1.695;1;256;1.04;0.20
NED2013022_25;MFD_SETNO25;42.5377;-65.7098;383874;25;05-jul-13;07:11:37;32.0999;5.7545;6.04673;0.85948850420168;1;NaN;9;NaN;9;NaN;9;0.195;1;2.605;1;0.5475;1;3.025;1;0;4.76;0.86
NED2013022_25;MFD_SETNO25;42.5377;-65.7098;383873;50;05-jul-13;07:11:37;32.6814;5.5133;5.55384;0.642891983193277;1;NaN;9;NaN;9;NaN;9;0.195;1;6;1;0.6985;1;4.655;1;0;8.59;1.29
NED2013022_25;MFD_SETNO25;42.5377;-65.7098;383872;89;05-jul-13;07:11:37;33.2005;6.6617;5.14479;0.293735130252101;1;33.219654083252;1;6.058;1;NaN;9;0.105;1;7.44;1;0.7315;1;5.23;1;0;10.17;1.42
NED2013022_27;MFD_SETNO27;42.6948;-65.8135;383879;4;05-jul-13;08:59:39;32.3891;10.9775;5.84238;2.93942904201681;1;NaN;9;6.875;7;NaN;9;0.04;1;0.39;1;0.3505;1;3.425;1;256;1.11;0.11
NED2013022_27;MFD_SETNO27;42.6948;-65.8135;383878;25;05-jul-13;08:59:39;32.604;8.8776;5.46597;0.670602844537815;1;NaN;9;NaN;9;NaN;9;0.28;1;4.19;1;0.5615;1;4.5;1;0;7.46;0.93
NED2013022_27;MFD_SETNO27;42.6948;-65.8135;383877;50;05-jul-13;08:59:39;32.7904;7.5052;5.2917;0.216144718487395;1;NaN;9;NaN;9;NaN;9;0.235;1;6.5;1;0.6575;1;5.525;1;0;9.89;1.18
NED2013022_27;MFD_SETNO27;42.6948;-65.8135;383876;95;05-jul-13;08:59:39;32.9985;6.9322;5.22236;0.193976029411765;1;NaN;9;6.119;1;NaN;9;0.155;1;7.03;1;0.69;1;5.18;1;0;10.19;1.36
NED2013022_28;MFD_SETNO28;42.7673;-65.9073;383883;5;05-jul-13;13:29:18;32.498;9.9522;5.78144;2.36118070588235;1;32.5179786682129;1;6.817;7;NaN;9;0.145;1;1.865;1;0.46;1;4.02;1;256;4.05;0.46
NED2013022_28;MFD_SETNO28;42.7673;-65.9073;383882;25;05-jul-13;13:29:18;32.8213;8.5959;5.27231;0.332530336134454;1;NaN;9;NaN;9;NaN;9;0.28;1;5.185;1;0.5995;1;4.485;1;0;8.65;1.16
NED2013022_28;MFD_SETNO28;42.7673;-65.9073;383881;52;05-jul-13;13:29:18;32.8818;8.4738;5.22584;0.24939775210084;1;NaN;9;NaN;9;NaN;9;0.29;1;5.715;1;0.6195;1;4.78;1;0;9.23;1.20
NED2013022_28;MFD_SETNO28;42.7673;-65.9073;383880;89;05-jul-13;13:29:18;33.0182;8.4402;5.13696;0.216144718487395;1;NaN;9;6.0635;1;NaN;9;0.345;1;7.095;1;0.8965;1;5.585;1;0;7.91;1.27
NED2013022_29;MFD_SETNO29;42.7145;-65.9702;383887;5;05-jul-13;14:27:50;32.4236;11.0126;5.81799;2.26480598319328;1;NaN;9;6.891;7;NaN;9;0.09;1;0.895;1;0.3885;1;3.685;1;256;2.30;0.24
NED2013022_29;MFD_SETNO29;42.7145;-65.9702;383886;26;05-jul-13;14:27:50;32.8093;8.4451;5.30199;0.254939924369748;1;NaN;9;NaN;9;NaN;9;0.31;1;5.79;1;0.627;1;5.055;1;0;9.23;1.15
NED2013022_29;MFD_SETNO29;42.7145;-65.9702;383885;51;05-jul-13;14:27:50;32.8635;8.4291;5.24731;0.254939924369748;1;NaN;9;NaN;9;NaN;9;0.295;1;5.835;1;0.642;1;5.065;1;0;9.09;1.15
NED2013022_29;MFD_SETNO29;42.7145;-65.9702;383884;87;05-jul-13;14:27:50;32.9997;8.6047;5.15008;0.293735130252101;1;33.0135536193848;1;6.019;1;NaN;9;0.28;1;6.335;1;0.647;1;5.16;1;0;9.79;1.23
NED2013022_30;MFD_SETNO30;42.7052;-66.0853;383891;5;05-jul-13;16:18:08;32.413;11.4906;5.76403;1.98756716596639;1;NaN;9;6.841;7;NaN;9;0.035;1;0.3;1;0.333;1;3.175;1;256;0.90;0.09
NED2013022_30;MFD_SETNO30;42.7052;-66.0853;383890;26;05-jul-13;16:18:08;32.6115;9.5895;5.46891;1.16389068277311;1;NaN;9;NaN;9;NaN;9;0.185;1;2.73;1;0.4875;1;3.755;1;0;5.60;0.73
NED2013022_30;MFD_SETNO30;42.7052;-66.0853;383889;51;05-jul-13;16:18:08;32.8372;8.8982;5.26011;0.426747264705883;1;NaN;9;NaN;9;NaN;9;0.275;1;5.27;1;0.6025;1;4.67;1;0;8.75;1.13
NED2013022_30;MFD_SETNO30;42.7052;-66.0853;383888;69;05-jul-13;16:18:08;32.8452;8.8836;5.25205;0.387952058823529;1;32.8593101501465;1;3.079;7;NaN;9;0.27;1;5.43;1;0.615;1;4.72;1;256;8.83;1.15
